gene,chr,start,end,splice_type,novel,Panc1_ENCFF745DHX_in_cov,Panc1_ENCFF745DHX_total_cov
ENSG00000115756.12,chr2,10396920,10419733,ES,False,714,954
ENSG00000204262.12,chr2,189179507,189180073,TSS,True,102,188
ENSG00000168906.12,chr2,85543034,85543669,IR,True,113,267
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,172,404
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,155,268
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,130,267
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,155,200
ENSG00000152102.17,chr2,131055552,131055644,TSS,True,175,197
ENSG00000065911.11,chr2,74198742,74205704,ES,True,418,508
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,126,170
ENSG00000176720.5,chr2,241559005,241559703,TSS,True,152,170
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,336,375
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,75,375
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,160,366
ENSG00000124831.18,chr2,237708630,237748363,ES,False,291,327
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,368,447
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,181,446
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,46,359
ENSG00000196950.13,chr2,195656915,195657281,TSS,True,24,126
ENSG00000196950.13,chr2,195734882,195737704,PAS,False,16,123
ENSG00000173209.23,chr2,61185618,61186445,IR,False,114,165
ENSG00000173209.23,chr2,61177410,61179171,TSS,True,19,187
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,211,244
ENSG00000138442.9,chr2,202911435,202912409,TSS,False,22,124
ENSG00000077232.17,chr2,182732542,182740298,ES,False,37,215
ENSG00000115694.14,chr2,241499414,241500172,IR,False,207,236
ENSG00000115694.14,chr2,241500796,241508005,ES,False,25,203
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,197,351
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,288,351
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,221,1185
ENSG00000135931.17,chr2,231235381,231256585,ES,False,23,116
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,54,137
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,115,137
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,36,123
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,68,100
ENSG00000198925.11,chr2,219224105,219224710,TSS,True,86,100
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,29,201
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,675,911
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,731,911
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,670,911
ENSG00000115307.16,chr2,74527838,74527939,IR,False,192,221
ENSG00000115307.16,chr2,74528935,74529131,IR,False,167,208
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,162,370
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,112,145
ENSG00000115652.14,chr2,106194147,106194391,TSS,True,21,166
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,14,120
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,492,909
ENSG00000055332.17,chr2,37104698,37107395,PAS,True,17,104
ENSG00000055332.17,chr2,37106506,37107527,PAS,True,90,104
ENSG00000055332.17,chr2,37156907,37157204,TSS,True,21,108
ENSG00000114993.16,chr2,74441705,74442421,TSS,True,49,159
ENSG00000114993.16,chr2,74427423,74427576,TSS,True,131,150
ENSG00000168894.9,chr2,85595721,85595849,TSS,True,15,106
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,216,354
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,233,354
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,277,352
ENSG00000135966.12,chr2,105249402,105250412,PAS,True,100,114
ENSG00000135966.12,chr2,105329624,105330200,TSS,False,26,114
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,35,151
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,135,151
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,49,170
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,15,133
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,84,144
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,89,144
ENSG00000077044.10,chr2,233354483,233354674,TSS,True,98,153
ENSG00000085449.14,chr2,223945147,223945383,TSS,True,27,101
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,30,106
ENSG00000144354.13,chr2,173358837,173363225,ES,False,117,145
ENSG00000144354.13,chr2,173367633,173368997,PAS,True,19,159
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,28,136
ENSG00000170035.15,chr2,180981043,180982236,TSS,True,121,136
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,65,236
ENSG00000114978.17,chr2,74159090,74159138,TSS,True,204,232
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,23,195
ENSG00000055044.10,chr2,202265235,202265986,TSS,True,87,230
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,81,154
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,117,152
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,113,155
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,51,234
ENSG00000163170.11,chr2,74135658,74145188,ES,False,30,108
ENSG00000163170.11,chr2,74147820,74147923,TSS,True,36,111
ENSG00000163170.11,chr2,74145188,74145300,TSS,True,77,111
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,21,182
PB_novel_06603,chr2,113708893,113710458,TSS,True,100,112
ENSG00000138069.17,chr2,65129892,65130116,TSS,True,27,197
ENSG00000169679.14,chr2,110677969,110678089,TSS,True,39,278
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,74,120
ENSG00000197713.14,chr2,210016112,210016506,ES,False,182,229
ENSG00000197713.14,chr2,210002567,210002783,TSS,True,31,253
ENSG00000144028.14,chr2,96284743,96285340,PAS,True,117,136
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,244,332
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,314,356
ENSG00000138081.20,chr2,47806751,47808247,PAS,True,15,106
ENSG00000138081.20,chr2,47905488,47906533,TSS,True,14,111
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,35,109
ENSG00000003436.15,chr2,187503770,187554199,ES,False,121,151
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,25,196
ENSG00000003436.15,chr2,187554199,187554543,TSS,True,50,206
ENSG00000003436.15,chr2,187467752,187467806,TSS,True,161,182
ENSG00000128641.18,chr2,191400468,191408114,ES,False,71,102
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,36,112
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,112,867
ENSG00000163029.15,chr2,17745951,17753625,ES,False,121,138
ENSG00000163029.15,chr2,17663582,17665613,PAS,True,82,148
ENSG00000163029.15,chr2,17696303,17696426,PAS,True,94,147
ENSG00000138434.16,chr2,181919446,181921947,ES,False,40,259
ENSG00000138434.16,chr2,181920650,181921947,5AS,False,27,219
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,100,311
ENSG00000138434.16,chr2,181929560,181930739,PAS,True,46,305
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,38,191
ENSG00000151693.10,chr2,9206590,9207230,TSS,False,80,149
ENSG00000151693.10,chr2,9393553,9393647,TSS,True,103,119
ENSG00000151693.10,chr2,9401355,9401396,TSS,True,103,119
ENSG00000151693.10,chr2,9403252,9405679,PAS,True,30,134
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,370,447
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,244,447
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,68,148
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,45,253
ENSG00000123983.13,chr2,222887888,222908732,ES,False,126,197
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,53,165
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,96,147
ENSG00000158417.10,chr2,99361147,99361820,PAS,True,98,114
ENSG00000158417.10,chr2,99360235,99360324,PAS,True,60,113
ENSG00000136699.19,chr2,130154276,130154465,TSS,True,86,107
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,93,112
ENSG00000136699.19,chr2,130172348,130172462,TSS,True,99,111
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,80,175
ENSG00000168397.16,chr2,241654696,241655343,TSS,True,149,169
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,22,143
ENSG00000123485.11,chr2,233854383,233854574,TSS,True,39,250
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,39,155
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,176,292
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,253,292
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,18,170
ENSG00000177917.10,chr2,152717634,152719024,TSS,True,22,101
ENSG00000177917.10,chr2,152759746,152761253,PAS,True,15,101
ENSG00000171865.9,chr2,3558132,3558375,TSS,False,31,164
ENSG00000144021.2,chr2,96268658,96269267,IR,False,256,285
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,288,1366
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,93,137
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,18,111
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,47,211
ENSG00000171303.6,chr2,26692726,26693158,TSS,True,50,128
ENSG00000115084.13,chr2,113711380,113715195,PAS,True,30,129
ENSG00000115084.13,chr2,113756369,113756674,TSS,True,16,130
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,57,220
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,96,290
ENSG00000091436.16,chr2,173090477,173090830,TSS,False,254,290
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,205,276
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,108,257
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,83,503
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,404,480
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,105,543
ENSG00000136717.14,chr2,127106859,127107329,TSS,True,51,110
ENSG00000136717.14,chr2,127059010,127059110,TSS,True,98,110
ENSG00000153107.12,chr2,111767636,111769406,PAS,True,14,103
ENSG00000153107.12,chr2,111883941,111884318,TSS,True,43,107
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,15,134
ENSG00000144231.10,chr2,127850685,127858027,ES,True,18,145
ENSG00000138363.14,chr2,215312161,215312497,IR,False,191,229
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,160,351
ENSG00000138363.14,chr2,215312058,215312624,TSS,True,313,351
ENSG00000138363.14,chr2,215346755,215346941,TSS,True,266,347
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,64,113
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,88,113
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,91,552
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,92,297
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,234,1570
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,1368,1546
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,251,1585
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,169,434
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,91,123
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,40,124
ENSG00000068912.13,chr2,53801842,53809213,ES,False,15,142
ENSG00000068912.13,chr2,53786426,53787372,TSS,True,37,182
ENSG00000144224.16,chr2,135753567,135754158,IR,False,156,175
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,21,189
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,135,180
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,101,183
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,151,179
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,160,180
ENSG00000172428.10,chr2,240136221,240136305,TSS,True,95,121
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,38,114
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,83,101
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,56,142
ENSG00000158435.7,chr2,101269136,101269215,IR,True,94,128
ENSG00000158435.7,chr2,101269215,101270316,PAS,False,35,130
ENSG00000158435.7,chr2,101269039,101270553,PAS,True,96,130
ENSG00000115457.9,chr2,216633400,216633965,TSS,True,18,165
ENSG00000116096.5,chr2,72887736,72888313,IR,True,99,111
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,32,137
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,189,638
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,474,638
ENSG00000239305.6,chr2,86622660,86623854,TSS,True,31,159
ENSG00000115526.10,chr2,100417373,100417825,TSS,False,48,110
ENSG00000163798.13,chr2,27663427,27664577,TSS,True,13,101
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,50,101
ENSG00000132323.8,chr2,238203498,238203748,TSS,True,28,101
ENSG00000034510.5,chr2,84905651,84905718,TSS,False,225,1530
ENSG00000034510.5,chr2,84905817,84906117,TSS,True,1346,1530
ENSG00000151694.13,chr2,9488455,9490518,PAS,True,15,126
ENSG00000151694.13,chr2,9555508,9556317,TSS,True,20,126
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,99,121
ENSG00000136718.9,chr2,130342935,130343085,IR,False,99,132
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,76,174
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,152,174
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,143,174
ENSG00000130147.15,chr2,234951969,234952170,TSS,True,226,259
ENSG00000130147.15,chr2,235041267,235043247,TSS,True,93,256
ENSG00000138074.14,chr2,27201113,27201349,IR,False,107,120
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,144,172
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,136,172
ENSG00000115128.6,chr2,24076199,24076759,TSS,True,57,163
ENSG00000115128.6,chr2,24068320,24068455,TSS,True,135,160
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,558,1652
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1277,1652
ENSG00000119801.12,chr2,30147062,30156627,ES,False,97,113
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,46,102
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,54,228
ENSG00000091409.14,chr2,172498100,172504090,ES,False,26,226
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,69,275
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,25,145
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,108,125
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,22,130
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,113,130
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,39,152
ENSG00000153827.13,chr2,229793130,229795178,3AS,True,21,171
ENSG00000153827.13,chr2,229805802,229807707,3AS,False,33,130
ENSG00000153827.13,chr2,229805883,229807707,5AS,True,97,114
ENSG00000153827.13,chr2,229859574,229879981,ES,False,70,126
ENSG00000153827.13,chr2,229921879,229922235,TSS,True,134,220
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,132,811
ENSG00000136536.14,chr2,159712606,159729008,ES,False,132,154
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,132,265
ENSG00000136536.14,chr2,159712661,159729008,ES,False,94,130
ENSG00000136536.14,chr2,159762993,159767283,ES,False,107,284
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,166,297
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,142,297
ENSG00000115211.15,chr2,27366936,27367073,IR,False,132,147
ENSG00000115211.15,chr2,27367201,27367456,IR,False,126,148
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,55,153
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,29,170
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,155,178
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,104,138
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,75,152
ENSG00000275052.4,chr2,55564476,55564901,3AS,True,15,106
ENSG00000275052.4,chr2,55577356,55579678,ES,False,46,106
ENSG00000275052.4,chr2,55547291,55550006,PAS,True,35,138
ENSG00000275052.4,chr2,55613994,55615506,PAS,True,107,131
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,35,132
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,46,120
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,71,107
ENSG00000186522.14,chr2,109544324,109546049,IR,True,130,169
ENSG00000186522.14,chr2,109585838,109613797,ES,False,17,153
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,55,185
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,135,175
ENSG00000186522.14,chr2,109613797,109614196,TSS,True,23,185
ENSG00000115486.11,chr2,85561385,85561810,TSS,True,71,134
ENSG00000115486.11,chr2,85553231,85553473,TSS,True,104,127
ENSG00000115486.11,chr2,85558916,85559042,TSS,True,115,134
ENSG00000136682.14,chr2,113465173,113482176,ES,False,12,113
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,20,134
ENSG00000136682.14,chr2,113443766,113444538,PAS,True,117,133
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,486,547
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,79,547
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,103,188
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,34,256
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,101,257
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,216,257
ENSG00000154518.9,chr2,175179056,175179127,TSS,True,228,256
ENSG00000144063.3,chr2,110115687,110115852,TSS,True,106,375
ENSG00000163811.11,chr2,28894615,28894923,TSS,False,29,207
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,113,222
ENSG00000144567.10,chr2,219178219,219178633,TSS,True,104,158
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,14,128
ENSG00000115641.18,chr2,105386540,105398841,ES,False,131,251
ENSG00000115641.18,chr2,105386540,105398969,ES,False,57,115
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,57,309
ENSG00000115641.18,chr2,105396697,105398969,5AS,False,58,181
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,368,483
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,230,483
ENSG00000143924.18,chr2,42169258,42169636,TSS,True,31,246
ENSG00000143924.18,chr2,42329733,42332548,PAS,True,46,233
ENSG00000143924.18,chr2,42256500,42257828,PAS,True,185,216
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,36,290
ENSG00000079785.14,chr2,15597374,15597447,PAS,True,246,276
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,43,202
ENSG00000168393.12,chr2,241678649,241685768,ES,False,18,133
ENSG00000168393.12,chr2,241686653,241686841,TSS,True,142,287
ENSG00000168393.12,chr2,241678451,241678516,TSS,True,174,283
ENSG00000115875.18,chr2,38748653,38749528,IR,False,68,104
ENSG00000115875.18,chr2,38750194,38751228,IR,True,106,119
ENSG00000115875.18,chr2,38743598,38745187,PAS,True,19,160
ENSG00000115875.18,chr2,38748046,38748159,TSS,True,124,150
ENSG00000115875.18,chr2,38751228,38751439,TSS,True,60,166
ENSG00000071051.13,chr2,105855289,105892981,ES,False,52,217
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,59,273
ENSG00000018510.14,chr2,177392739,177393049,TSS,True,18,151
ENSG00000198612.10,chr2,237085338,237086042,TSS,True,30,124
ENSG00000115295.19,chr2,29115182,29115665,TSS,False,33,151
ENSG00000115295.19,chr2,29181571,29183952,PAS,True,19,145
