gene,chr,start,end,splice_type,novel,type_B_pancreatic_cell_ENCFF058HQU_in_cov,type_B_pancreatic_cell_ENCFF058HQU_total_cov
ENSG00000173281.4,chr8,9150562,9150713,TSS,False,123,288
ENSG00000173281.4,chr8,9151346,9151539,TSS,False,259,288
ENSG00000104388.14,chr8,60516905,60517253,TSS,True,25,162
ENSG00000205133.11,chr8,92917007,92954405,3AS,False,43,123
ENSG00000205133.11,chr8,92883529,92886735,PAS,True,24,155
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,14,137
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,36,294
ENSG00000136960.12,chr8,119580167,119582429,5AS,False,79,182
ENSG00000136960.12,chr8,119638747,119638893,TSS,True,77,185
ENSG00000136960.12,chr8,119673251,119673698,TSS,False,130,185
ENSG00000120915.13,chr8,27544244,27544443,IR,True,130,145
ENSG00000120915.13,chr8,27544443,27544922,PAS,True,22,152
ENSG00000132561.13,chr8,98032317,98033098,3AS,False,66,102
ENSG00000132561.13,chr8,97868859,97869287,TSS,True,42,104
ENSG00000132561.13,chr8,97887923,97888242,TSS,True,74,104
ENSG00000155090.14,chr8,102651148,102651539,TSS,True,171,222
ENSG00000155090.14,chr8,102655565,102655727,TSS,False,74,222
ENSG00000253729.7,chr8,47773106,47774377,PAS,True,107,123
ENSG00000253729.7,chr8,47786723,47789049,PAS,True,84,109
ENSG00000253729.7,chr8,47959972,47960199,TSS,True,62,125
ENSG00000147676.13,chr8,119208365,119208604,TSS,False,164,187
ENSG00000147676.13,chr8,119208111,119209200,TSS,False,129,187
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,431,1594
ENSG00000104613.11,chr8,19851648,19852081,PAS,True,24,195
ENSG00000198791.11,chr8,17226029,17230848,PAS,True,17,129
ENSG00000198791.11,chr8,17246674,17246871,TSS,True,33,133
ENSG00000064313.11,chr8,119730770,119732186,PAS,True,106,118
ENSG00000064313.11,chr8,119788334,119788447,PAS,False,17,113
ENSG00000064313.11,chr8,119832481,119834349,TSS,True,20,121
ENSG00000047249.17,chr8,53843033,53843431,TSS,False,48,414
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,230,406
ENSG00000070756.15,chr8,100706650,100706798,TSS,True,284,400
ENSG00000076554.15,chr8,80171424,80171633,TSS,True,47,240
ENSG00000104320.13,chr8,89981523,89982721,ES,False,102,117
ENSG00000104320.13,chr8,89933325,89935612,PAS,True,105,123
ENSG00000104320.13,chr8,89953033,89953691,PAS,True,54,122
ENSG00000104320.13,chr8,89955283,89955555,PAS,True,89,121
ENSG00000133872.13,chr8,30070059,30082846,ES,False,147,1124
ENSG00000174197.16,chr15,41660093,41660525,TSS,False,72,113
ENSG00000174197.16,chr15,41621195,41621298,TSS,False,99,113
ENSG00000174197.16,chr15,41762128,41762210,PAS,True,86,106
ENSG00000159322.17,chr15,72752892,72755555,3AS,False,92,174
ENSG00000159322.17,chr15,72751294,72752895,PAS,True,106,191
ENSG00000159322.17,chr15,72751294,72752892,PAS,True,97,191
ENSG00000159322.17,chr15,72783458,72783781,TSS,True,22,195
ENSG00000104164.10,chr15,45587180,45587525,TSS,True,20,109
ENSG00000137824.15,chr15,40754790,40755198,5AS,False,32,109
ENSG00000137824.15,chr15,40755082,40755282,TSS,True,38,115
