gene,chr,start,end,splice_type,novel,left_ventricle_myocardium_superior_ENCFF850YMO_in_cov,left_ventricle_myocardium_superior_ENCFF850YMO_total_cov
ENSG00000114923.16,chr2,219631039,219631455,TSS,False,453,667
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,215,245
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,95,245
ENSG00000168385.17,chr2,241315982,241324215,ES,False,263,295
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,45,354
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,88,570
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,412,479
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,221,593
ENSG00000115307.16,chr2,74528935,74529131,IR,False,127,147
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,23,174
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,54,281
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,252,281
ENSG00000132329.10,chr2,237859296,237859727,TSS,True,26,155
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,56,136
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,117,136
ENSG00000176946.11,chr2,241617411,241617522,TSS,True,116,135
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,59,407
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,14,115
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,75,116
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,58,116
ENSG00000169764.15,chr2,63842204,63856305,ES,False,152,171
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,223,606
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,426,597
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,19,107
ENSG00000061676.14,chr2,183003319,183023805,3AS,True,125,197
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,26,225
ENSG00000115896.15,chr2,198083755,198086232,TSS,True,120,143
ENSG00000115896.15,chr2,197804585,197805341,TSS,True,47,162
ENSG00000115896.15,chr2,198146779,198151778,PAS,True,19,158
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,18,117
ENSG00000184182.18,chr2,238030553,238030613,TSS,True,105,117
ENSG00000138399.17,chr2,169537340,169540050,ES,False,19,109
ENSG00000138399.17,chr2,169563350,169571652,ES,False,47,109
ENSG00000243147.7,chr2,27772692,27779432,ES,False,208,299
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,139,420
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,40,151
ENSG00000162878.12,chr2,42054040,42054307,TSS,True,87,108
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,36,110
ENSG00000115380.19,chr2,55923710,55923931,TSS,True,11,104
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,14,110
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,143,175
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,39,175
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,168,469
ENSG00000132313.14,chr2,86199460,86199533,TSS,True,14,114
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,18,111
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,23,106
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,93,106
ENSG00000170417.15,chr2,102761993,102762349,TSS,True,21,188
ENSG00000067066.16,chr2,230416328,230442936,ES,False,37,108
ENSG00000067066.16,chr2,230449710,230461261,ES,True,29,102
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,22,116
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,73,122
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,58,131
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,83,131
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,309,783
ENSG00000091436.16,chr2,173090477,173090830,TSS,False,601,783
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,40,147
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,36,149
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,110,142
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,21,151
ENSG00000180228.12,chr2,178447586,178450965,ES,True,15,145
ENSG00000072195.14,chr2,219460063,219460996,TSS,False,116,129
ENSG00000072195.14,chr2,219492593,219493632,PAS,True,35,114
ENSG00000115183.14,chr2,158968591,158968782,TSS,False,34,122
ENSG00000115183.14,chr2,159229577,159232669,PAS,True,85,113
ENSG00000114948.12,chr2,206443352,206444080,TSS,True,30,126
ENSG00000114948.12,chr2,206617578,206621126,PAS,True,13,110
ENSG00000155657.26,chr2,178525988,178527307,PAS,True,1052,1217
ENSG00000155657.26,chr2,178793396,178793541,PAS,True,140,627
ENSG00000155657.26,chr2,178530240,178534343,TSS,True,48,195
ENSG00000155657.26,chr2,178807211,178807424,TSS,True,677,1235
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,102,304
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,211,304
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,37,306
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,29,103
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,89,103
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,75,104
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,63,106
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,86,104
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,90,104
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,37,362
ENSG00000138100.13,chr2,27282348,27282899,TSS,True,69,230
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,19,160
ENSG00000135617.3,chr2,73233093,73233262,TSS,True,30,228
ENSG00000135617.3,chr2,73228794,73228959,TSS,True,203,228
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,91,173
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,132,173
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,83,147
ENSG00000003402.19,chr2,201162995,201167554,PAS,True,116,151
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,50,114
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,86,114
ENSG00000142330.19,chr2,240584888,240587052,TSS,True,59,155
ENSG00000142330.19,chr2,240596187,240596942,TSS,True,123,155
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,62,242
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,187,242
ENSG00000119801.12,chr2,30147062,30156627,ES,False,65,108
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,85,111
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,66,111
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,60,382
ENSG00000135932.10,chr2,230712824,230713230,TSS,False,30,247
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,82,123
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,54,136
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,95,136
ENSG00000115993.12,chr2,201451349,201451662,TSS,True,50,101
ENSG00000115993.12,chr2,201407402,201407543,TSS,True,88,101
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,18,149
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,32,149
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,78,260
ENSG00000136536.14,chr2,159712661,159729008,ES,False,161,182
ENSG00000136536.14,chr2,159762993,159767283,ES,False,78,275
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,96,280
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,193,280
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,44,113
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,188,235
ENSG00000115306.15,chr2,54469890,54469986,TSS,True,215,265
ENSG00000115306.15,chr2,54659935,54662307,PAS,True,108,212
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,179,207
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,179,238
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,730,834
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,133,834
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,56,132
ENSG00000142327.12,chr2,240575610,240576567,3AS,False,30,259
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,117,319
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,33,319
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,470,775
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,218,1135
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,966,1135
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,84,179
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,18,111
ENSG00000115641.18,chr2,105367569,105367716,TSS,True,1307,1505
ENSG00000115641.18,chr2,105438398,105438583,TSS,True,368,1513
ENSG00000115593.14,chr2,88067773,88068001,TSS,True,45,240
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,40,190
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,146,205
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,25,102
ENSG00000115415.18,chr2,190984309,190984395,TSS,True,88,102
ENSG00000119729.11,chr2,46542333,46543188,TSS,True,95,668
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,99,233
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,109,222
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,145,223
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,194,221
ENSG00000168958.19,chr2,227325427,227330625,ES,False,44,187
ENSG00000168958.19,chr2,227328789,227330625,ES,False,108,144
ENSG00000168958.19,chr2,227340380,227347225,ES,False,46,132
ENSG00000168958.19,chr2,227340380,227352513,ES,False,29,183
ENSG00000168958.19,chr2,227342819,227352513,ES,True,22,107
ENSG00000152086.8,chr2,130195078,130195231,TSS,True,37,151
ENSG00000152086.8,chr2,130193785,130194412,TSS,True,134,151
ENSG00000171863.14,chr2,3575256,3575350,TSS,True,19,178
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,39,265
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,99,366
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,290,366
ENSG00000040341.17,chr8,73746782,73746960,TSS,True,24,103
ENSG00000179526.16,chr8,144098994,144099276,ES,False,27,161
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,22,184
ENSG00000085719.12,chr8,86514412,86514541,TSS,True,23,113
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,18,134
ENSG00000164754.14,chr8,116845935,116850767,PAS,True,117,133
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,36,138
ENSG00000023287.12,chr8,52642765,52642812,PAS,True,95,125
ENSG00000023287.12,chr8,52645323,52645867,PAS,True,111,125
ENSG00000023287.12,chr8,52656119,52657908,PAS,False,55,120
ENSG00000008513.15,chr8,133476074,133476277,IR,False,105,154
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,107,251
ENSG00000029534.20,chr8,41664804,41665289,TSS,True,43,311
ENSG00000133878.8,chr8,33597588,33599664,3AS,True,122,191
ENSG00000184489.11,chr8,141418018,141421387,5AS,True,161,202
ENSG00000184489.11,chr8,141421610,141422180,IR,False,58,511
ENSG00000184489.11,chr8,141422273,141425047,5AS,True,69,545
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,703,963
ENSG00000184489.11,chr8,141422086,141425140,TSS,True,673,962
ENSG00000184489.11,chr8,141417829,141418018,TSS,True,783,963
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,67,499
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,106,555
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,37,231
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,97,133
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,106,126
ENSG00000187954.12,chr8,144465207,144465437,TSS,True,110,137
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,115,137
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,74,127
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,69,127
ENSG00000198363.17,chr8,61681036,61684038,ES,False,97,116
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,134,152
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,81,148
ENSG00000198363.17,chr8,61661682,61665606,PAS,True,99,116
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,78,155
ENSG00000198363.17,chr8,61689672,61689861,TSS,True,119,155
ENSG00000134020.7,chr8,22920183,22920280,TSS,True,228,287
ENSG00000134020.7,chr8,22927822,22928009,TSS,False,70,288
ENSG00000036448.9,chr8,2045035,2045168,TSS,True,608,1617
ENSG00000036448.9,chr8,2085267,2085390,TSS,True,1431,1599
ENSG00000147649.9,chr8,97687605,97690951,ES,False,16,118
ENSG00000147649.9,chr8,97691188,97706625,ES,False,39,119
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,87,165
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,129,165
ENSG00000147649.9,chr8,97661071,97661158,PAS,True,118,162
ENSG00000123124.13,chr8,86342930,86374029,ES,True,70,150
ENSG00000123124.13,chr8,86342525,86342930,TSS,True,26,177
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,656,1366
ENSG00000164733.20,chr8,11853479,11868000,ME,False,135,153
ENSG00000164733.20,chr8,11853479,11868000,ME,False,135,153
ENSG00000164733.20,chr8,11853479,11868000,ME,False,135,153
ENSG00000164733.20,chr8,11853479,11864375,ES,False,136,155
ENSG00000164733.20,chr8,11853479,11868000,ES,False,1192,1364
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,230,401
ENSG00000185122.10,chr8,144313823,144313911,TSS,True,308,399
ENSG00000185122.10,chr8,144313905,144314054,TSS,True,323,399
ENSG00000077782.20,chr8,38467980,38468832,TSS,True,94,108
ENSG00000104332.11,chr8,41261958,41265489,PAS,True,90,118
ENSG00000104332.11,chr8,41303460,41303538,PAS,True,28,118
ENSG00000104332.11,chr8,41308615,41309485,TSS,False,25,142
ENSG00000120963.11,chr8,101197051,101199239,PAS,True,12,107
ENSG00000179950.13,chr8,143818534,143821596,ES,False,126,206
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,31,183
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,46,239
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,29,157
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,78,155
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,78,145
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,54,237
ENSG00000178814.16,chr8,144052326,144052448,IR,True,174,194
ENSG00000178814.16,chr8,144063303,144063474,TSS,True,189,211
ENSG00000129422.14,chr8,17676275,17676506,TSS,True,97,108
ENSG00000129422.14,chr8,17801060,17801518,TSS,True,84,109
ENSG00000129422.14,chr8,17753716,17755962,TSS,True,96,109
ENSG00000147684.8,chr8,124539101,124539287,TSS,True,129,516
ENSG00000104388.14,chr8,60620673,60623626,PAS,True,23,209
ENSG00000147813.15,chr8,143578092,143578621,TSS,True,26,179
ENSG00000147485.12,chr8,51408066,51409462,TSS,True,18,114
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,77,588
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,239,830
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,689,828
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,54,357
ENSG00000156482.10,chr8,98042644,98042697,TSS,True,320,357
ENSG00000164951.15,chr8,93917079,93922015,ES,False,164,249
ENSG00000164951.15,chr8,93916890,93917079,TSS,True,58,307
ENSG00000155975.9,chr8,17247369,17265906,ES,False,106,128
ENSG00000155975.9,chr8,17294986,17298024,PAS,True,17,151
ENSG00000154582.16,chr8,73959818,73972076,ES,False,158,195
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,29,228
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,203,228
ENSG00000168615.11,chr8,38996752,38997160,TSS,True,45,174
ENSG00000147408.14,chr8,19506130,19601770,ES,False,102,132
ENSG00000147408.14,chr8,19757185,19757522,TSS,True,143,159
ENSG00000147408.14,chr8,19682695,19682991,TSS,False,68,159
ENSG00000168575.9,chr8,42416465,42417967,PAS,True,16,106
ENSG00000168575.9,chr8,42541537,42541937,TSS,True,86,112
ENSG00000168575.9,chr8,42501030,42501263,TSS,True,60,100
ENSG00000160948.13,chr8,144425000,144425682,3AS,False,18,142
ENSG00000160948.13,chr8,144425051,144425682,IR,False,123,141
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,39,194
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,71,278
ENSG00000156804.7,chr8,123540898,123541595,TSS,True,47,188
ENSG00000136574.17,chr8,11703447,11704304,TSS,True,60,109
ENSG00000104635.13,chr8,22367230,22367408,TSS,True,104,488
ENSG00000213563.6,chr8,144526639,144526959,IR,False,73,189
ENSG00000213563.6,chr8,144526215,144526639,PAS,False,117,190
ENSG00000213563.6,chr8,144526215,144527787,PAS,True,60,152
ENSG00000213563.6,chr8,144528760,144529116,TSS,True,41,190
ENSG00000171033.12,chr8,78516306,78516468,TSS,True,78,288
ENSG00000171033.12,chr8,78591226,78591283,TSS,False,244,286
ENSG00000175445.15,chr8,19939222,19939528,TSS,True,97,541
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,25,102
ENSG00000070756.15,chr8,100709458,100711202,TSS,True,91,102
ENSG00000120885.21,chr8,27614654,27614703,TSS,True,25,110
ENSG00000137547.8,chr8,54135205,54135391,TSS,True,23,188
ENSG00000137547.8,chr8,54147381,54149586,PAS,True,23,167
ENSG00000137547.8,chr8,54144128,54147903,PAS,True,144,167
ENSG00000160972.9,chr8,144477943,144478127,TSS,True,82,106
ENSG00000160972.9,chr8,144501106,144501294,TSS,True,67,106
ENSG00000133872.13,chr8,30070059,30082846,ES,False,37,360
ENSG00000067225.17,chr15,72200655,72206727,ME,False,1801,2338
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,325,2420
ENSG00000185043.11,chr15,90233834,90233970,TSS,True,14,104
ENSG00000068305.17,chr15,99566104,99632977,ES,False,40,110
ENSG00000068305.17,chr15,99645764,99674392,ME,False,37,108
ENSG00000068305.17,chr15,99565428,99566104,TSS,True,50,160
ENSG00000068305.17,chr15,99712389,99716482,PAS,True,15,124
ENSG00000128989.10,chr15,52568847,52569144,TSS,True,45,124
ENSG00000128989.10,chr15,52569115,52569167,TSS,True,87,124
ENSG00000185418.15,chr15,101653586,101654730,PAS,True,22,116
ENSG00000185418.15,chr15,101723133,101723164,PAS,True,97,112
ENSG00000178761.14,chr15,74902063,74902603,IR,False,17,151
ENSG00000178761.14,chr15,74902783,74904663,3AS,False,38,147
ENSG00000178761.14,chr15,74904712,74905153,ES,False,119,142
ENSG00000178761.14,chr15,74905231,74906586,ES,False,35,136
ENSG00000178761.14,chr15,74899989,74902786,PAS,True,57,153
ENSG00000178761.14,chr15,74899986,74902783,PAS,True,115,153
ENSG00000178761.14,chr15,74906586,74907348,TSS,False,31,170
ENSG00000128951.13,chr15,48331479,48332267,5AS,False,21,154
ENSG00000128951.13,chr15,48331405,48331479,TSS,True,156,178
ENSG00000128951.13,chr15,48331399,48332406,TSS,False,160,178
ENSG00000128951.13,chr15,48331409,48331795,TSS,True,49,178
ENSG00000166887.15,chr15,42208080,42208335,TSS,True,31,107
ENSG00000140374.15,chr15,76292700,76311349,ES,False,92,650
ENSG00000182253.14,chr15,99105076,99106009,TSS,True,191,414
ENSG00000182253.14,chr15,99129440,99131813,TSS,True,186,276
ENSG00000182253.14,chr15,99129366,99135583,PAS,True,94,231
ENSG00000182253.14,chr15,99132749,99135593,PAS,True,145,321
ENSG00000260916.7,chr15,55354628,55356409,PAS,True,97,123
ENSG00000260916.7,chr15,55355238,55360944,PAS,True,25,116
ENSG00000260916.7,chr15,55408220,55408470,TSS,True,25,123
ENSG00000260916.7,chr15,55407846,55408373,TSS,False,108,123
ENSG00000186628.12,chr15,82769030,82772072,ES,False,27,101
ENSG00000186628.12,chr15,82787468,82805965,ES,False,63,102
ENSG00000186628.12,chr15,82805965,82806133,TSS,True,27,132
ENSG00000205363.5,chr15,73740476,73740567,IR,False,17,165
ENSG00000205363.5,chr15,73751097,73752109,3AS,False,14,135
ENSG00000205363.5,chr15,73739798,73740642,PAS,True,21,168
ENSG00000205363.5,chr15,73752109,73753383,TSS,True,54,188
ENSG00000205363.5,chr15,73750974,73751546,TSS,True,158,188
ENSG00000137878.17,chr15,57591887,57592109,TSS,True,26,128
ENSG00000137878.17,chr15,57646136,57650058,PAS,True,59,104
ENSG00000137878.17,chr15,57684401,57685364,PAS,True,89,127
ENSG00000196547.14,chr15,90915973,90916256,TSS,True,98,128
ENSG00000196547.14,chr15,90918666,90918755,TSS,False,106,128
ENSG00000166831.8,chr15,64775232,64775620,TSS,False,94,121
ENSG00000166946.13,chr15,43185276,43185607,TSS,True,14,126
ENSG00000137815.14,chr15,41417090,41417313,TSS,True,25,148
ENSG00000137815.14,chr15,41457671,41458747,PAS,True,68,123
ENSG00000137815.14,chr15,41452900,41452942,PAS,True,91,123
ENSG00000137815.14,chr15,41480580,41482981,PAS,False,112,126
ENSG00000035664.11,chr15,63907031,63908600,PAS,True,21,100
ENSG00000035664.11,chr15,64046297,64046561,TSS,True,15,109
ENSG00000166173.10,chr15,70853888,70854159,TSS,True,18,113
ENSG00000170776.21,chr15,85380473,85380798,TSS,True,77,136
ENSG00000170776.21,chr15,85578991,85582107,TSS,True,95,115
ENSG00000170776.21,chr15,85684740,85686620,PAS,True,33,107
ENSG00000140403.12,chr15,78264470,78264895,TSS,True,17,117
ENSG00000103994.17,chr15,42412815,42417360,PAS,True,243,314
ENSG00000103994.17,chr15,42446589,42446658,PAS,False,158,259
ENSG00000103994.17,chr15,42449664,42451954,PAS,False,113,224
ENSG00000103994.17,chr15,42490979,42491144,TSS,True,399,482
ENSG00000103994.17,chr15,42456957,42457532,TSS,True,340,471
ENSG00000028528.14,chr15,64095898,64096172,TSS,True,22,169
ENSG00000166411.13,chr15,78149300,78149430,TSS,True,63,340
ENSG00000086666.18,chr15,80059654,80059809,TSS,True,40,133
