gene,chr,start,end,splice_type,novel,endothelial_cell_of_umbilical_vein_ENCFF049QIP_in_cov,endothelial_cell_of_umbilical_vein_ENCFF049QIP_total_cov
ENSG00000197223.11,chr2,68047319,68062957,5AS,False,61,103
ENSG00000197223.11,chr2,68062957,68063007,TSS,True,45,120
ENSG00000197223.11,chr2,68062944,68063010,TSS,True,78,120
ENSG00000115380.19,chr2,55875065,55881611,ME,True,46,139
ENSG00000115380.19,chr2,55922447,55922570,IR,False,59,100
ENSG00000115380.19,chr2,55922447,55923710,ES,False,6451,8958
ENSG00000115380.19,chr2,55922691,55922898,3AS,False,75,100
ENSG00000144034.14,chr2,73732285,73734428,ES,False,126,167
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,37,145
ENSG00000144034.14,chr2,73729872,73730029,PAS,True,23,190
ENSG00000144034.14,chr2,73734428,73734592,TSS,True,160,190
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,43,190
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,24,110
ENSG00000138434.16,chr2,181929560,181930739,PAS,True,11,107
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,16,106
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,120,145
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,691,836
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,172,836
ENSG00000153574.8,chr2,88691643,88691983,TSS,False,11,102
ENSG00000132313.14,chr2,86210479,86213790,PAS,True,24,119
ENSG00000132313.14,chr2,86213627,86214989,PAS,False,107,124
ENSG00000123983.13,chr2,222887888,222908732,ES,False,174,256
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,30,229
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,100,207
ENSG00000158417.10,chr2,99360235,99360324,PAS,True,141,199
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,177,229
ENSG00000136699.19,chr2,130157396,130164373,ES,False,42,113
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,38,148
ENSG00000067066.16,chr2,230416328,230442936,ES,False,14,117
ENSG00000067066.16,chr2,230411725,230416328,TSS,True,14,131
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,33,130
ENSG00000067066.16,chr2,230507992,230508149,PAS,True,116,131
ENSG00000168397.16,chr2,241651335,241653511,ES,False,104,126
ENSG00000168397.16,chr2,241671405,241672190,IR,False,102,125
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,40,167
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,31,144
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,122,144
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,41,297
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,172,428
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,41,403
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,121,148
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,35,204
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,103,443
ENSG00000115524.15,chr2,197392971,197393132,TSS,True,371,436
ENSG00000136717.14,chr2,127050912,127059010,ES,False,16,107
ENSG00000136717.14,chr2,127106859,127107329,TSS,True,26,118
ENSG00000136717.14,chr2,127064773,127064897,TSS,True,103,118
ENSG00000143889.15,chr2,38602600,38602856,IR,False,17,109
ENSG00000143889.15,chr2,38602437,38602937,TSS,True,22,114
ENSG00000143889.15,chr2,38602856,38603062,TSS,True,97,114
ENSG00000180228.12,chr2,178431412,178432254,PAS,True,19,188
ENSG00000134330.18,chr2,9474107,9474647,TSS,True,19,118
ENSG00000144231.10,chr2,127848185,127852924,ES,False,14,113
ENSG00000144231.10,chr2,127850685,127858027,ES,True,12,110
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,16,101
ENSG00000028116.17,chr2,58046821,58048826,5AS,False,32,101
ENSG00000028116.17,chr2,58046621,58046821,TSS,True,74,106
ENSG00000028116.17,chr2,58046636,58046868,TSS,True,36,106
ENSG00000028116.17,chr2,58159348,58164001,PAS,True,16,105
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,38,319
ENSG00000124019.9,chr2,224380208,224401036,ES,True,232,320
ENSG00000068912.13,chr2,53801842,53809213,ES,False,26,142
ENSG00000068912.13,chr2,53786426,53787372,TSS,True,29,172
ENSG00000115540.14,chr2,197516146,197535529,ES,False,23,152
ENSG00000116096.5,chr2,72887736,72888313,IR,True,107,120
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,18,129
ENSG00000116096.5,chr2,72887407,72888604,TSS,True,116,129
ENSG00000115446.11,chr2,98618167,98618515,PAS,True,18,175
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,339,1874
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,1570,1874
ENSG00000135636.13,chr2,71453515,71454086,TSS,False,97,115
ENSG00000135636.13,chr2,71466363,71466933,TSS,False,78,115
ENSG00000118257.16,chr2,205682427,205683363,TSS,True,82,151
ENSG00000118257.16,chr2,205682447,205682905,TSS,True,134,152
ENSG00000118257.16,chr2,205794753,205798132,PAS,True,59,113
ENSG00000118257.16,chr2,205776245,205779714,PAS,True,83,107
ENSG00000003402.19,chr2,201140439,201141373,IR,True,149,176
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,301,342
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,289,342
ENSG00000003402.19,chr2,201129327,201130146,TSS,True,285,320
ENSG00000003402.19,chr2,201132964,201133134,TSS,True,236,320
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,139,288
ENSG00000003402.19,chr2,201140356,201141605,PAS,True,250,282
ENSG00000003402.19,chr2,201136197,201139879,PAS,True,228,267
ENSG00000034510.5,chr2,84906121,84906388,IR,True,114,127
ENSG00000034510.5,chr2,84905651,84905718,TSS,False,9934,22035
ENSG00000034510.5,chr2,84905817,84906117,TSS,True,12256,22035
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,157,202
ENSG00000136718.9,chr2,130342935,130343085,IR,False,157,195
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,117,274
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,229,274
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,235,274
ENSG00000130147.15,chr2,234951969,234952170,TSS,True,51,110
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,91,133
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,74,133
ENSG00000115129.13,chr2,24084730,24085052,TSS,True,391,564
ENSG00000115129.13,chr2,24084188,24084978,TSS,True,441,564
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,188,1429
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1275,1429
ENSG00000119801.12,chr2,30147062,30156627,ES,False,149,182
ENSG00000151689.12,chr2,190343583,190343961,TSS,False,29,124
ENSG00000115525.17,chr2,85888823,85889143,TSS,True,239,279
ENSG00000136709.11,chr2,127701026,127706552,PAS,False,143,167
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,201,271
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,64,101
ENSG00000173272.15,chr2,131469722,131470343,PAS,True,425,473
ENSG00000173272.15,chr2,131483959,131484218,PAS,True,52,464
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,134,474
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,367,474
ENSG00000135932.10,chr2,230712824,230713230,TSS,False,14,105
ENSG00000091409.14,chr2,172498100,172504090,ES,False,67,249
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,43,272
ENSG00000114956.19,chr2,73927052,73946718,ES,False,143,210
ENSG00000114956.19,chr2,73927052,73958145,ES,True,30,245
ENSG00000114956.19,chr2,73946906,73958145,ES,False,105,201
ENSG00000168883.19,chr2,85616456,85619219,5AS,False,21,159
ENSG00000168883.19,chr2,85648853,85649016,IR,False,24,182
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,48,186
ENSG00000168883.19,chr2,85616127,85616456,TSS,True,165,186
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,24,182
ENSG00000168883.19,chr2,85649016,85649284,PAS,True,162,186
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,322,410
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,104,426
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,337,426
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,48,279
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,42,134
ENSG00000136536.14,chr2,159762993,159767283,ES,False,14,138
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,56,150
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,105,150
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,75,203
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,23,209
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,137,164
ENSG00000275052.4,chr2,55617143,55617815,TSS,True,23,105
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,31,161
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,127,155
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,33,169
ENSG00000186522.14,chr2,109613797,109614196,TSS,True,29,169
ENSG00000136682.14,chr2,113465173,113482176,ES,False,23,153
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,30,189
ENSG00000136682.14,chr2,113443766,113444538,PAS,True,158,187
ENSG00000213639.9,chr2,28752176,28781803,3AS,True,12,111
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,93,123
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,53,123
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,64,120
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,26,170
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,151,170
ENSG00000135900.3,chr2,223957433,223957651,TSS,False,22,117
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,87,525
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,457,525
ENSG00000144063.3,chr2,110115687,110115852,TSS,True,30,130
ENSG00000115602.16,chr2,102342294,102343077,3AS,False,32,229
ENSG00000196843.15,chr2,96547517,96549752,ES,False,55,109
ENSG00000196843.15,chr2,96549805,96550187,IR,False,96,109
ENSG00000196843.15,chr2,96536703,96536830,TSS,True,13,123
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,142,303
ENSG00000115042.9,chr2,95402872,95405552,ES,False,66,109
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,37,146
ENSG00000115042.9,chr2,95402677,95402992,TSS,True,125,146
ENSG00000115641.18,chr2,105386540,105398841,ES,False,140,212
ENSG00000115641.18,chr2,105386540,105398969,ES,False,122,185
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,122,334
ENSG00000115641.18,chr2,105396697,105398969,5AS,False,62,136
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,285,470
ENSG00000115641.18,chr2,105396646,105396973,TSS,True,419,470
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,256,470
ENSG00000115875.18,chr2,38745187,38746693,ES,False,37,292
ENSG00000115875.18,chr2,38748653,38749528,IR,False,225,260
ENSG00000115363.13,chr2,75518208,75560679,ES,False,43,128
ENSG00000115363.13,chr2,75492310,75493609,PAS,True,30,184
ENSG00000115363.13,chr2,75558480,75558699,PAS,False,155,183
ENSG00000115363.13,chr2,75560679,75560994,TSS,True,72,187
ENSG00000115363.13,chr2,75561256,75561340,TSS,True,120,187
ENSG00000064989.12,chr2,187385631,187387665,ES,False,23,215
ENSG00000064989.12,chr2,187387756,187448038,ES,False,118,215
ENSG00000064989.12,chr2,187431364,187448038,ES,False,175,195
ENSG00000064989.12,chr2,187340371,187346399,PAS,True,114,332
ENSG00000064989.12,chr2,187428338,187428889,PAS,False,223,325
ENSG00000144579.7,chr2,218400004,218400157,TSS,True,105,122
ENSG00000071051.13,chr2,105855289,105892981,ES,False,34,109
ENSG00000018510.14,chr2,177392739,177393049,TSS,True,30,190
ENSG00000115414.18,chr2,215372015,215372108,IR,False,1583,1985
ENSG00000115414.18,chr2,215372015,215373321,ES,False,196,1764
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,196,596
ENSG00000115414.18,chr2,215372300,215373321,3AS,False,314,1969
ENSG00000115414.18,chr2,215379317,215382211,ES,False,749,2059
ENSG00000115414.18,chr2,215394527,215394723,TSS,True,1694,2330
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,1234,2403
ENSG00000143727.15,chr2,271939,275139,ME,False,64,307
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,368,602
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,102,715
ENSG00000130508.10,chr2,1684151,1691927,ES,False,31,113
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,235,280
ENSG00000130508.10,chr2,1744255,1744568,TSS,True,173,284
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,33,131
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,101,131
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,19,136
ENSG00000169756.16,chr2,108534375,108534594,TSS,True,105,122
ENSG00000169756.16,chr2,108654963,108655256,TSS,True,70,122
ENSG00000198130.15,chr2,190205232,190212955,ES,False,12,116
ENSG00000136710.9,chr2,130342014,130342165,TSS,True,14,103
ENSG00000119865.8,chr2,68319221,68319913,TSS,True,66,228
ENSG00000119865.8,chr2,68319771,68320008,TSS,True,193,228
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,80,224
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,47,235
ENSG00000127838.13,chr2,218344807,218346793,PAS,True,195,227
ENSG00000119013.8,chr2,201071991,201072059,TSS,True,690,1032
ENSG00000153250.19,chr2,160281364,160284774,ES,False,126,192
ENSG00000153250.19,chr2,160285044,160286977,5AS,False,81,194
ENSG00000153250.19,chr2,160367388,160407463,3AS,True,20,142
ENSG00000153250.19,chr2,160493288,160493938,TSS,True,167,215
ENSG00000153250.19,chr2,160407463,160408117,TSS,False,73,215
ENSG00000168958.19,chr2,227325427,227330625,ES,False,16,100
ENSG00000168958.19,chr2,227325427,227332418,ES,False,21,121
ENSG00000168958.19,chr2,227340380,227355676,ES,False,53,123
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,34,115
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,18,155
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,20,162
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,45,115
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,74,145
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,100,145
ENSG00000138382.14,chr2,169824488,169824919,TSS,True,121,145
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,212,1420
ENSG00000197756.9,chr2,216498869,216499398,TSS,True,1256,1420
