gene_id,gene_name,strand,n_ex_d,n_ex_u,n_ex,start,end,trid,norm_pos
ENSG00000205670.10,SMIM11A,+,0,1,4,34379467,34402760,21,0.5723013135686504
ENSG00000142156.14,COL6A1,+,5,12,20,45999199,46001260,214,0.7094026714693081
ENSG00000243646.9,IL10RB,+,3,0,6,33266509,33279755,63,0.2205935281222393
ENSG00000274333.4,CU633967.1,+,2,0,5,5553740,5585897,91,0.4234155160216941
ENSG00000274333.4,CU633967.1,+,2,0,5,5553740,5585897,91,0.4234155160216941
ENSG00000274333.4,CU633967.1,+,0,0,3,5553740,5590207,30,0.4775661927742272
ENSG00000157554.18,ERG,-,3,4,10,38392411,38403537,127,0.9459421500698636
ENSG00000157554.18,ERG,-,6,1,10,38423523,38584887,46,0.5616070211193318
PB_novel_85406,PB_novel_85406,-,0,0,3,14729272,14744596,2,0.4732264034546576
ENSG00000188681.11,TEKT4P2,-,2,1,6,9070413,9127522,43,0.501506367455949
ENSG00000188681.11,TEKT4P2,-,2,1,6,9070413,9127522,43,0.501506367455949
ENSG00000188681.11,TEKT4P2,-,2,1,6,9070413,9127522,59,0.5014171458357088
ENSG00000188681.11,TEKT4P2,-,2,1,6,9070413,9127522,59,0.5014171458357088
ENSG00000141959.16,PFKL,+,21,0,24,44300189,44305190,809,0.0966071297855208
ENSG00000141959.16,PFKL,+,21,0,24,44300189,44305417,359,0.0995161645040686
ENSG00000141959.16,PFKL,+,21,0,24,44300189,44305894,600,0.1095872853114586
ENSG00000141959.16,PFKL,+,20,0,23,44300189,44306681,249,0.1228835300153925
ENSG00000141959.16,PFKL,+,21,0,24,44300189,44306681,926,0.1239385065885798
ENSG00000141959.16,PFKL,+,15,0,18,44300189,44312107,889,0.2225397523265186
ENSG00000141959.16,PFKL,+,22,0,25,44300637,44305190,1295,0.0912993384375232
ENSG00000141959.16,PFKL,+,20,1,24,44303552,44306681,349,0.184883337606681
ENSG00000141959.16,PFKL,+,19,1,23,44304432,44306681,633,0.2008172689291211
ENSG00000141959.16,PFKL,+,16,1,20,44306736,44312978,255,0.3586522614905695
ENSG00000141959.16,PFKL,+,19,5,27,44307321,44311007,1239,0.3328202873057754
ENSG00000141959.16,PFKL,+,14,4,21,44313121,44316251,1021,0.5287689562890276
ENSG00000141959.16,PFKL,+,14,6,23,44314016,44316251,1236,0.5521123151266657
ENSG00000141959.16,PFKL,+,14,3,20,44314016,44316251,1261,0.1966583508403361
ENSG00000141959.16,PFKL,+,14,2,19,44314016,44316251,1279,0.1463899546564353
ENSG00000141959.16,PFKL,+,14,2,19,44314016,44316251,1279,0.1463899546564353
ENSG00000141959.16,PFKL,+,1,17,21,44324909,44326165,30,0.9329623256324828
ENSG00000198862.13,LTN1,-,18,10,31,28960665,28965897,123,0.4570669221379235
ENSG00000198862.13,LTN1,-,3,5,11,28971378,28981157,254,0.6391893452403865
ENSG00000198862.13,LTN1,-,3,5,11,28971378,28981157,254,0.6391893452403865
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7081075,85,0.4720022211181576
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7081075,85,0.4720022211181576
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7081075,85,0.4720022211181576
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7085253,125,0.4762122717999686
ENSG00000159131.16,GART,-,1,7,11,33504501,33509813,255,0.8468101423572832
ENSG00000159131.16,GART,-,2,16,21,33505681,33511270,639,0.8719667116042725
ENSG00000159131.16,GART,-,7,11,21,33517605,33522207,799,0.5820789846331358
ENSG00000184787.18,UBE2G2,-,2,0,5,44788066,44801738,91,0.2642985234079896
ENSG00000241837.6,ATP5PO,-,1,3,7,33904014,33907345,159,0.7987054137244252
ENSG00000241837.6,ATP5PO,-,0,2,5,33904014,33912294,125,0.6173419773095624
ENSG00000166265.11,CYYR1,-,1,1,5,26480380,26566313,61,0.5207657195502418
ENSG00000166265.11,CYYR1,-,1,1,5,26480380,26566313,61,0.5207657195502418
ENSG00000166265.11,CYYR1,-,1,1,5,26480380,26566313,61,0.5207657195502418
ENSG00000166265.11,CYYR1,-,1,1,5,26480380,26566313,61,0.5207657195502418
ENSG00000166265.11,CYYR1,-,1,1,5,26480380,26566313,61,0.5207657195502418
ENSG00000159079.18,CFAP298,-,1,0,4,32604276,32612123,126,0.4503431780366056
ENSG00000157538.13,VPS26C,-,3,0,6,37232445,37267243,247,0.3982462134153285
ENSG00000157538.13,VPS26C,-,3,0,6,37232445,37267243,27,0.3983969396119865
ENSG00000157538.13,VPS26C,-,4,0,7,37233430,37267243,255,0.3876982231019498
ENSG00000157538.13,VPS26C,-,4,0,7,37233430,37267243,255,0.3876982231019498
ENSG00000157538.13,VPS26C,-,1,0,4,37240638,37267243,190,0.4257921863069484
ENSG00000157538.13,VPS26C,-,1,0,4,37240638,37267243,190,0.4257921863069484
ENSG00000157538.13,VPS26C,-,1,0,4,37240638,37267243,190,0.4257921863069484
ENSG00000275496.4,CU633906.1,-,0,0,3,6230925,6267159,45,0.4759828747454706
ENSG00000275496.4,CU633906.1,-,0,0,3,6230925,6267159,31,0.4764661399254217
ENSG00000275496.4,CU633906.1,-,0,0,3,6235120,6267159,62,0.4550704583321566
ENSG00000275496.4,CU633906.1,-,0,0,3,6235120,6267159,62,0.4550704583321566
ENSG00000275496.4,CU633906.1,-,1,0,4,6235120,6267159,68,0.4296512557990721
ENSG00000159267.14,HLCS,-,8,0,11,36938960,36962070,125,0.0556316615991179
ENSG00000160200.17,CBS,-,0,13,16,43053607,43056804,1720,0.9111685214626392
ENSG00000160200.17,CBS,-,2,11,16,43058251,43060454,1694,0.7278570481954323
ENSG00000160200.17,CBS,-,15,1,19,43073340,43076249,457,0.0857559984765773
ENSG00000160200.17,CBS,-,16,1,20,43073340,43076249,159,0.087809306646398
ENSG00000156265.15,MAP3K7CL,+,6,0,9,29077611,29085815,94,0.042958190207118
ENSG00000156265.15,MAP3K7CL,+,3,0,6,29092555,29130858,62,0.2320766230347699
ENSG00000156265.15,MAP3K7CL,+,3,0,6,29092555,29133331,53,0.2476872325675901
ENSG00000156265.15,MAP3K7CL,+,1,5,9,29092555,29160056,31,0.4989236770829122
ENSG00000156265.15,MAP3K7CL,+,1,0,4,29130918,29160056,79,0.3267258753958937
ENSG00000156265.15,MAP3K7CL,+,0,1,4,29133380,29174715,86,0.5168160194711804
ENSG00000156265.15,MAP3K7CL,+,0,0,3,29145597,29174715,43,0.4809583525839878
ENSG00000159212.12,CLIC6,+,4,0,7,34669830,34707282,4,0.3883677298311445
ENSG00000159140.19,SON,+,4,9,16,33569028,33572552,191,0.8057426547439321
ENSG00000159140.19,SON,+,4,9,16,33569028,33572552,191,0.8057426547439321
ENSG00000160214.12,RRP1,+,0,9,12,43800612,43803517,103,0.8600289096916299
ENSG00000160190.13,SLC37A1,+,18,0,21,42513921,42518278,383,0.0332627871181624
ENSG00000160190.13,SLC37A1,+,0,17,20,42568434,42580357,382,0.8960645886984578
ENSG00000160294.10,MCM3AP,-,6,2,11,46246397,46254398,380,0.2697407189157337
ENSG00000265590.9,AP000275.2,-,3,4,10,32582403,32603210,24,0.492419338777136
ENSG00000265590.9,AP000275.2,-,4,4,11,32582403,32603210,56,0.4335711595134165
ENSG00000265590.9,AP000275.2,-,4,4,11,32582403,32603210,56,0.4335711595134165
ENSG00000272657.1,AP000317.2,+,1,0,4,34073608,34293688,71,0.3700306426901056
ENSG00000272657.1,AP000317.2,+,1,0,4,34073608,34215540,30,0.2817017089303215
ENSG00000272657.1,AP000317.2,+,0,0,3,34073608,34215540,31,0.4940845697742393
ENSG00000272657.1,AP000317.2,+,4,0,7,34073608,34262921,58,0.3548610148148425
ENSG00000272657.1,AP000317.2,+,1,0,4,34073608,34293688,71,0.3700306426901056
ENSG00000272657.1,AP000317.2,+,1,0,4,34073608,34293688,71,0.3700306426901056
ENSG00000272657.1,AP000317.2,+,2,1,6,34125340,34293688,45,0.4699052149084297
ENSG00000272657.1,AP000317.2,+,1,1,5,34125340,34293688,25,0.5478017328228894
ENSG00000272657.1,AP000317.2,+,0,1,4,34125340,34324910,30,0.6013117538061096
ENSG00000272657.1,AP000317.2,+,0,1,4,34215499,34324910,36,0.78233857074081
ENSG00000160310.17,PRMT2,+,2,1,6,46648585,46660840,158,0.5029650512808049
ENSG00000160310.17,PRMT2,+,0,0,3,46649735,46664301,60,0.4829386050760096
ENSG00000160310.17,PRMT2,+,0,8,11,46660926,46664301,127,0.9206411525724624
ENSG00000160310.17,PRMT2,+,1,8,12,46661910,46663401,609,0.9206875965725524
ENSG00000160209.18,PDXK,+,5,2,10,43741761,43749020,127,0.6052892016714317
ENSG00000160209.18,PDXK,+,6,3,12,43743802,43746125,206,0.5896876603856588
ENSG00000157578.13,LCA5L,-,3,2,8,39411717,39422987,22,0.7259509249156284
ENSG00000157578.13,LCA5L,-,0,3,6,39423485,39429201,30,0.8134982184028505
ENSG00000157578.13,LCA5L,-,5,2,10,39423485,39435542,102,0.4143202647657841
ENSG00000157578.13,LCA5L,-,0,1,4,39423485,39444199,59,0.4922708109448623
ENSG00000157578.13,LCA5L,-,0,1,4,39423485,39444199,59,0.4922708109448623
ENSG00000157578.13,LCA5L,-,5,0,8,39423485,39445728,22,0.2881194650968053
ENSG00000157578.13,LCA5L,-,1,1,5,39429208,39444199,118,0.3727272727272727
ENSG00000157578.13,LCA5L,-,1,0,4,39429208,39445728,60,0.3428878242193953
ENSG00000157578.13,LCA5L,-,1,0,4,39429208,39445728,60,0.3428878242193953
ENSG00000157578.13,LCA5L,-,1,0,4,39429208,39445728,60,0.3428878242193953
ENSG00000182871.14,COL18A1,+,12,1,16,45405447,45468243,1565,0.3974971472996527
ENSG00000182871.14,COL18A1,+,12,1,16,45405447,45468243,1565,0.3974971472996527
ENSG00000182871.14,COL18A1,+,29,4,36,45479941,45480703,1180,0.1062970000267615
ENSG00000182871.14,COL18A1,+,23,15,41,45486980,45489486,1277,0.7652595997089462
ENSG00000182871.14,COL18A1,+,21,15,39,45486980,45490275,1278,0.7769528668112717
ENSG00000182871.14,COL18A1,+,22,3,28,45487498,45490275,1790,0.2173563616880456
ENSG00000182871.14,COL18A1,+,6,11,20,45497644,45505361,231,0.4908651633686148
ENSG00000182871.14,COL18A1,+,6,20,29,45504015,45505361,246,0.7260843190779497
ENSG00000160191.17,PDE9A,+,16,4,23,42698967,42731778,102,0.5066740503732874
ENSG00000183570.16,PCBP3,+,14,0,17,45643867,45735393,450,0.1536682199191237
ENSG00000183570.16,PCBP3,+,14,0,17,45643867,45735393,450,0.1536682199191237
ENSG00000183570.16,PCBP3,+,14,0,17,45643867,45735393,450,0.1536682199191237
ENSG00000183570.16,PCBP3,+,14,0,17,45643867,45735393,450,0.1536682199191237
ENSG00000183570.16,PCBP3,+,13,0,16,45643867,45849975,59,0.3455665783061558
ENSG00000183570.16,PCBP3,+,15,1,19,45668912,45735393,389,0.1956542113948498
ENSG00000183570.16,PCBP3,+,15,1,19,45668912,45735393,389,0.1956542113948498
ENSG00000183570.16,PCBP3,+,12,1,16,45735393,45849975,320,0.4986173695874873
ENSG00000183570.16,PCBP3,+,14,1,18,45735393,45755452,189,0.3404385304209557
ENSG00000183570.16,PCBP3,+,12,2,17,45735393,45849975,254,0.4986425460546798
ENSG00000183570.16,PCBP3,+,12,2,17,45735393,45849975,254,0.4986425460546798
ENSG00000183570.16,PCBP3,+,13,1,17,45735393,45849975,449,0.4986509376485475
ENSG00000183570.16,PCBP3,+,10,2,15,45735393,45896244,94,0.5759282142988704
ENSG00000183570.16,PCBP3,+,12,3,18,45744230,45849975,382,0.5135104830503936
ENSG00000183570.16,PCBP3,+,12,3,18,45744230,45849975,382,0.5135104830503936
ENSG00000183570.16,PCBP3,+,8,3,14,45850020,45896244,409,0.7913178455011124
ENSG00000183570.16,PCBP3,+,11,3,17,45850020,45896244,251,0.7679641420126266
ENSG00000183570.16,PCBP3,+,4,11,18,45910972,45929919,27,0.9263357513716536
ENSG00000183570.16,PCBP3,+,4,10,17,45910972,45929995,135,0.9264542931651484
ENSG00000142166.12,IFNAR1,+,6,1,10,33335627,33343539,62,0.4794490183660544
ENSG00000142166.12,IFNAR1,+,5,1,9,33335627,33345281,180,0.4982129632611005
ENSG00000142166.12,IFNAR1,+,5,1,9,33335627,33345281,180,0.4982129632611005
ENSG00000142166.12,IFNAR1,+,1,2,6,33341139,33345281,118,0.7568498837595483
ENSG00000142166.12,IFNAR1,+,4,2,9,33343416,33349105,126,0.6852364549463993
ENSG00000215424.9,MCM3AP-AS1,+,0,0,3,46229263,46240834,30,0.4232613908872901
ENSG00000215424.9,MCM3AP-AS1,+,0,0,3,46229263,46240834,30,0.4232613908872901
ENSG00000157601.13,MX1,+,17,0,20,41420436,41421990,535,0.0227629311453483
ENSG00000157601.13,MX1,+,13,2,18,41427821,41430535,289,0.0889704544075714
ENSG00000157601.13,MX1,+,1,2,6,41446135,41452640,282,0.4090197966183284
ENSG00000157601.13,MX1,+,0,13,16,41449288,41458530,435,0.8391920172272603
ENSG00000166979.12,EVA1C,+,6,0,9,32412046,32453312,45,0.2021050803635171
ENSG00000166979.12,EVA1C,+,4,0,7,32412046,32467698,133,0.2709429517566302
ENSG00000166979.12,EVA1C,+,6,0,9,32412873,32453312,117,0.1984015662897051
ENSG00000166979.12,EVA1C,+,4,0,7,32412873,32467698,86,0.2755339262631914
ENSG00000166979.12,EVA1C,+,1,2,6,32467806,32504015,31,0.7155574211851895
ENSG00000166979.12,EVA1C,+,0,4,7,32495167,32514828,59,0.8988273222234127
ENSG00000273492.5,AP000229.1,+,1,0,4,26171020,26214861,6,0.4742847924284792
ENSG00000273492.5,AP000229.1,+,0,0,3,26171020,26215829,30,0.4850058042048239
ENSG00000273492.5,AP000229.1,+,0,0,3,26171020,26215829,30,0.4850058042048239
ENSG00000273492.5,AP000229.1,+,2,1,6,26180536,26215829,23,0.2132574633277615
ENSG00000160305.17,DIP2A,+,17,0,20,46459214,46484779,764,0.1489428715411398
ENSG00000160305.17,DIP2A,+,12,3,18,46497089,46509266,383,0.4851805113574015
ENSG00000160305.17,DIP2A,+,27,7,37,46511577,46533530,178,0.5750552176117025
ENSG00000160305.17,DIP2A,+,1,3,7,46511577,46533530,751,0.6458593707547683
ENSG00000159128.14,IFNGR2,+,5,0,8,33403611,33414901,66,0.1709599812228611
ENSG00000159128.14,IFNGR2,+,5,0,8,33403611,33414901,69,0.1697725001469637
ENSG00000159128.14,IFNGR2,+,4,0,7,33403611,33414901,94,0.1944045191697028
ENSG00000159128.14,IFNGR2,+,4,2,9,33411518,33421488,120,0.3820690872712293
ENSG00000159128.14,IFNGR2,+,1,0,4,33421663,33432724,83,0.3488614142433608
ENSG00000154727.10,GABPA,+,8,0,11,25735574,25741575,34,0.0961915589029415
ENSG00000154727.10,GABPA,+,9,0,12,25735574,25741575,95,0.0830627266331114
ENSG00000154727.10,GABPA,+,9,0,12,25735574,25741575,95,0.0830627266331114
ENSG00000154727.10,GABPA,+,9,0,12,25735574,25741575,95,0.0830627266331114
ENSG00000154727.10,GABPA,+,7,0,10,25735574,25749045,199,0.205426930364756
ENSG00000154727.10,GABPA,+,5,1,9,25741660,25752002,149,0.3379117747634788
ENSG00000154734.14,ADAMTS1,-,2,2,7,26840044,26841924,157,0.4851941215178768
ENSG00000160226.15,CFAP410,-,3,1,7,44333253,44337666,30,0.3619445716903344
ENSG00000160226.15,CFAP410,-,3,0,6,44333253,44339121,87,0.3275272494122676
ENSG00000160223.17,ICOSLG,-,3,0,6,44235550,44240927,8,0.2046093518792542
ENSG00000160223.17,ICOSLG,-,3,0,6,44235550,44240927,14,0.2018447177359609
ENSG00000160223.17,ICOSLG,-,4,0,7,44237188,44240927,26,0.133647910310083
ENSG00000185917.13,SETD4,-,1,8,12,36036236,36038222,509,0.9108903145047724
ENSG00000185917.13,SETD4,-,7,2,12,36046004,36057122,249,0.3454971929554717
ENSG00000185917.13,SETD4,-,8,1,12,36048393,36058836,157,0.2610371001471613
ENSG00000160201.11,U2AF1,-,4,1,8,43095733,43104319,127,0.5140540169060546
ENSG00000160201.11,U2AF1,-,4,0,7,43095733,43107485,106,0.4075469113820025
ENSG00000160201.11,U2AF1,-,6,0,9,43104400,43107485,31,0.1089193825042881
ENSG00000160201.11,U2AF1,-,6,0,9,43104400,43107485,250,0.1077636551013397
ENSG00000160201.11,U2AF1,-,6,0,9,43104400,43107485,250,0.1077636551013397
ENSG00000160201.11,U2AF1,-,6,0,9,43104400,43107485,250,0.1077636551013397
ENSG00000205758.11,CRYZL1,-,0,9,12,33589914,33597320,366,0.9206106286107816
ENSG00000205758.11,CRYZL1,-,0,9,12,33589914,33597320,366,0.9206106286107816
ENSG00000205758.11,CRYZL1,-,4,7,14,33599283,33602267,184,0.7855431386455558
ENSG00000205758.11,CRYZL1,-,5,4,12,33603532,33622019,93,0.6150195362269599
ENSG00000205758.11,CRYZL1,-,8,0,11,33622058,33641684,318,0.2096476135856751
ENSG00000205758.11,CRYZL1,-,7,0,10,33631556,33641684,357,0.1172826807469885
ENSG00000205758.11,CRYZL1,-,10,0,13,33631556,33641684,360,0.1087579922255028
ENSG00000205758.11,CRYZL1,-,11,0,14,33631556,33641686,374,0.0977173830063363
ENSG00000273590.4,SMIM11B,+,0,1,4,7748903,7769218,29,0.5164147898173281
ENSG00000273590.4,SMIM11B,+,0,0,3,7748903,7771574,47,0.4842435629189974
ENSG00000160216.18,AGPAT3,+,6,0,9,43865341,43903965,55,0.1797376885996847
ENSG00000160216.18,AGPAT3,+,6,0,9,43865341,43903965,55,0.1797376885996847
ENSG00000160216.18,AGPAT3,+,7,0,10,43865341,43903965,123,0.1795361100355845
ENSG00000156273.15,BACH1,+,4,0,7,29194049,29270420,184,0.2543077503125392
ENSG00000156273.15,BACH1,+,2,0,5,29194049,29270420,154,0.291461837971106
ENSG00000156273.15,BACH1,+,3,0,6,29194049,29321221,91,0.418496896780945
ENSG00000156273.15,BACH1,+,1,3,7,29329690,29416467,155,0.6219806459721
ENSG00000156273.15,BACH1,+,1,3,7,29329690,29416467,167,0.6218124968565057
ENSG00000156273.15,BACH1,+,3,3,9,29329690,29597571,272,0.4564114998268098
ENSG00000156273.15,BACH1,+,1,3,7,29329690,29597571,62,0.496433844577696
ENSG00000156273.15,BACH1,+,1,3,7,29329690,29597571,62,0.496433844577696
ENSG00000156273.15,BACH1,+,4,4,11,29351633,29416467,295,0.1892000017780701
ENSG00000156273.15,BACH1,+,4,4,11,29351633,29416467,295,0.1892000017780701
ENSG00000182240.15,BACE2,+,0,4,7,41245975,41275379,95,0.8596457130164371
ENSG00000183486.12,MX2,+,12,0,15,41362030,41376837,86,0.1588389199854168
ENSG00000183486.12,MX2,+,12,0,15,41362030,41376837,86,0.1588389199854168
ENSG00000183486.12,MX2,+,12,0,15,41362030,41376837,86,0.1588389199854168
ENSG00000183486.12,MX2,+,12,0,15,41362030,41376837,86,0.1588389199854168
ENSG00000160299.16,PCNT,+,9,2,14,46334758,46346129,253,0.4941767007370113
ENSG00000160299.16,PCNT,+,8,4,15,46363895,46385873,121,0.4656799379524302
ENSG00000160299.16,PCNT,+,0,42,45,46441045,46445397,255,0.9795490255760576
ENSG00000183255.11,PTTG1IP,-,0,1,4,44851622,44865400,54,0.6298633891126522
ENSG00000183255.11,PTTG1IP,-,2,0,5,44856353,44873505,21,0.363606176324091
ENSG00000277117.4,FP565260.3,+,4,0,7,5022652,5026431,5,0.142531556802244
ENSG00000205726.14,ITSN1,+,15,0,18,33642705,33718797,417,0.2517905574426626
ENSG00000205726.14,ITSN1,+,15,0,18,33642705,33718797,553,0.2514748097232098
ENSG00000205726.14,ITSN1,+,25,0,28,33642705,33718797,123,0.1952339409522935
ENSG00000205726.14,ITSN1,+,9,0,12,33642705,33718797,511,0.305052811419721
ENSG00000205726.14,ITSN1,+,9,0,12,33642705,33718797,511,0.305052811419721
ENSG00000205726.14,ITSN1,+,9,0,12,33642705,33722592,542,0.3033619986095577
ENSG00000205726.14,ITSN1,+,12,2,17,33718853,33735044,250,0.5554315402698485
ENSG00000205726.14,ITSN1,+,0,5,8,33765959,33774732,443,0.8880490013583539
ENSG00000156253.6,RWDD2B,-,1,0,4,29008517,29019284,62,0.4003020035356511
ENSG00000157540.20,DYRK1A,+,1,0,4,37367267,37420307,37,0.4504085376021344
ENSG00000157540.20,DYRK1A,+,3,1,7,37420348,37472686,52,0.6658677534113875
ENSG00000197381.15,ADARB1,+,11,0,14,45074765,45128403,85,0.1823612087139845
ENSG00000197381.15,ADARB1,+,2,0,5,45074765,45128403,315,0.3135952926400986
ENSG00000197381.15,ADARB1,+,9,0,12,45074765,45175811,415,0.3336930132182357
ENSG00000197381.15,ADARB1,+,10,1,14,45128521,45144644,31,0.4188976431158441
ENSG00000197381.15,ADARB1,+,10,1,14,45128521,45171613,511,0.509967024353326
ENSG00000197381.15,ADARB1,+,10,1,14,45128521,45171613,511,0.509967024353326
ENSG00000197381.15,ADARB1,+,10,1,14,45128521,45171613,511,0.509967024353326
ENSG00000197381.15,ADARB1,+,6,1,10,45128521,45180350,127,0.5369604401221366
ENSG00000197381.15,ADARB1,+,9,2,14,45134779,45171613,31,0.5311570895724094
ENSG00000197381.15,ADARB1,+,7,4,14,45180426,45182590,61,0.7224673771278357
ENSG00000197381.15,ADARB1,+,2,9,14,45204733,45220842,383,0.9093544735352578
ENSG00000197381.15,ADARB1,+,1,11,15,45205659,45220842,63,0.9369603405175326
ENSG00000274276.4,CBSL,-,1,12,16,6448543,6450925,637,0.7851904214897941
ENSG00000274276.4,CBSL,-,16,1,20,6465018,6467927,181,0.0876863308137325
ENSG00000160218.12,TRAPPC10,+,1,4,8,44037859,44059105,220,0.7541380533928906
ENSG00000154640.14,BTG3,-,1,3,7,17598820,17604863,27,0.5742628321805606
ENSG00000154640.14,BTG3,-,1,0,4,17598820,17612704,48,0.3708034507847417
ENSG00000154640.14,BTG3,-,3,1,7,17604972,17608979,27,0.3072702688647355
ENSG00000154723.12,ATP5PF,-,2,0,5,25729795,25734859,22,0.2486481266898416
ENSG00000154723.12,ATP5PF,-,2,0,5,25729795,25734859,47,0.2474762042111336
ENSG00000154723.12,ATP5PF,-,2,0,5,25729795,25734859,22,0.2486481266898416
ENSG00000160194.17,NDUFV3,+,0,0,3,42893344,42908865,27,0.4964402721774194
ENSG00000142188.16,TMEM50B,-,1,6,10,33439258,33448872,221,0.7563999831301927
ENSG00000142188.16,TMEM50B,-,1,6,10,33439258,33448872,221,0.7563999831301927
ENSG00000142188.16,TMEM50B,-,2,5,10,33439258,33455760,191,0.6834186737467602
ENSG00000142188.16,TMEM50B,-,2,4,9,33439258,33460462,222,0.6338847329048573
ENSG00000142188.16,TMEM50B,-,3,4,10,33448873,33460462,198,0.5324994204059266
ENSG00000142188.16,TMEM50B,-,2,2,7,33448873,33467079,243,0.4627026115549185
ENSG00000142188.16,TMEM50B,-,2,3,8,33450854,33465384,136,0.4599060083033023
ENSG00000142188.16,TMEM50B,-,1,2,6,33455760,33467079,34,0.601159354398727
ENSG00000142188.16,TMEM50B,-,8,0,11,33468924,33479839,142,0.1156809354947653
ENSG00000142188.16,TMEM50B,-,4,0,7,33468924,33479839,126,0.1879250262205231
ENSG00000276077.4,CU633904.1,+,0,0,3,7430817,7462853,60,0.4720800304209202
ENSG00000276077.4,CU633904.1,+,0,0,3,7430817,7467183,62,0.4785417265998901
ENSG00000276077.4,CU633904.1,+,0,0,3,7430817,7462853,60,0.4720800304209202
ENSG00000276077.4,CU633904.1,+,0,0,3,7430817,7462853,60,0.4720800304209202
ENSG00000276077.4,CU633904.1,+,0,0,3,7430817,7467183,62,0.4785417265998901
ENSG00000276077.4,CU633904.1,+,0,0,3,7430817,7467183,62,0.4785417265998901
ENSG00000243927.5,MRPS6,+,2,0,5,34073741,34102866,79,0.2121594167399103
ENSG00000243927.5,MRPS6,+,2,0,5,34073741,34102866,79,0.2121594167399103
ENSG00000243927.5,MRPS6,+,1,0,4,34073741,34125344,78,0.3738840571362746
ENSG00000243927.5,MRPS6,+,1,0,4,34073741,34125344,30,0.3741660782985836
ENSG00000243927.5,MRPS6,+,0,2,5,34102866,34142700,95,0.7085157239949315
ENSG00000142173.14,COL6A2,+,26,0,29,46098165,46111457,323,0.1927905101923298
ENSG00000142173.14,COL6A2,+,4,1,8,46111574,46125268,1173,0.5843920145190563
ENSG00000142173.14,COL6A2,+,21,1,25,46112571,46115880,591,0.1298649722001588
ENSG00000142173.14,COL6A2,+,14,3,20,46117439,46119031,327,0.112278996293821
ENSG00000142173.14,COL6A2,+,11,13,27,46119115,46121063,119,0.6324613966351694
ENSG00000142173.14,COL6A2,+,10,13,26,46119814,46121562,1011,0.4293692509855453
ENSG00000142173.14,COL6A2,+,7,0,10,46121610,46122877,1140,0.0609723698193411
ENSG00000142173.14,COL6A2,+,6,16,25,46122156,46124651,519,0.5386964381687595
ENSG00000275895.6,U2AF1L5,-,4,1,8,6487402,6495997,233,0.5073790462930734
